WORKING_HOUR,NET,AUTORUN_EDITS,EXISTS_IN_AUTORUN,CRYPT_DLLS_LOADED,FILES_WRITTEN,AVG_WRITTEN_ENTROPY,ELEVATED,AVG_WRITES_FILES,QUERY_DIRECTORY
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,6
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,37,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,153,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,1,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,62,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,217,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,42,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,1
1,0,0,0,0,0,4,0,0,0
1,1878,0,0,0,1,5.499170615,0,1,0
1,0,0,0,0,0,4,0,0,6
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,1,5.04713068,0,1,2
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,2
1,690,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,1,4,0,49,1
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,1,4,0,49,1
1,0,0,0,0,0,4,0,0,8
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,8
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,4
1,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,4,0,0,0
